pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,growth_rate,egg_type_1,egg_type_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,url,id
12,Butterfree,1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32.0,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/butterfree.png,15
13,Weedle,1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/weedle.png,16
14,Kakuna,1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10.0,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/kakuna.png,17
15,Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1.0,29.5,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/beedrill.png,18
15,Mega Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,Medium Fast,Bug,,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://www.serebii.net/xy/pokemon/015-m.png,19
16,Pidgey,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,Medium Slow,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/pidgey.png,20
17,Pidgeotto,1,Normal,Bird Pokémon,Normal,Flying,1.1,30.0,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,Medium Slow,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/pidgeotto.png,21
18,Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,Medium Slow,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/pidgeot.png,22
18,Mega Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,Medium Slow,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://www.serebii.net/xy/pokemon/018-m.png,23
19,Rattata,1,Normal,Mouse Pokémon,Normal,,0.3,3.5,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,Medium Fast,Field,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/rattata.png,24
19,Alolan Rattata,7,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,Medium Fast,Field,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,https://www.serebii.net/sunmoon/pokemon/019-a.png,25
20,Raticate,1,Normal,Mouse Pokémon,Normal,,0.7,18.5,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,Medium Fast,Field,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/raticate.png,26
20,Alolan Raticate,7,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,Medium Fast,Field,,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,https://www.serebii.net/sunmoon/pokemon/020-a.png,27
21,Spearow,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,Medium Fast,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/spearow.png,28
22,Fearow,1,Normal,Beak Pokémon,Normal,Flying,1.2,38.0,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,Medium Fast,Flying,,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/fearow.png,29
23,Ekans,1,Normal,Snake Pokémon,Poison,,2.0,6.9,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,Medium Fast,Dragon,Field,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/ekans.png,30
24,Arbok,1,Normal,Cobra Pokémon,Poison,,3.5,65.0,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,Medium Fast,Dragon,Field,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/arbok.png,31
25,Pikachu,1,Normal,Mouse Pokémon,Electric,,0.4,6.0,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,Medium Fast,Fairy,Field,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://img.pokemondb.net/sprites/bank/normal/pikachu.png,32
26,Raichu,1,Normal,Mouse Pokémon,Electric,,0.8,30.0,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,Medium Fast,Fairy,Field,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://img.pokemondb.net/sprites/bank/normal/raichu.png,33
26,Alolan Raichu,7,Normal,Mouse Pokémon,Electric,Psychic,0.7,21.0,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,Medium Fast,Fairy,Field,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,https://www.serebii.net/sunmoon/pokemon/026-a.png,34
27,Sandshrew,1,Normal,Mouse Pokémon,Ground,,0.6,12.0,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,Medium Fast,Field,,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/sandshrew.png,35
27,Alolan Sandshrew,7,Normal,Mouse Pokémon,Ice,Steel,0.7,40.0,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,Medium Fast,Field,,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://www.serebii.net/sunmoon/pokemon/027-a.png,36
28,Sandslash,1,Normal,Mouse Pokémon,Ground,,1.0,29.5,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,Medium Fast,Field,,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/sandslash.png,37
28,Alolan Sandslash,7,Normal,Mouse Pokémon,Ice,Steel,1.2,55.0,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,Medium Fast,Field,,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://www.serebii.net/sunmoon/pokemon/028-a.png,38
29,Nidoran♀,1,Normal,Poison Pin Pokémon,Poison,,0.4,7.0,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,Medium Slow,Field,Monster,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidoran-f.png,39
30,Nidorina,1,Normal,Poison Pin Pokémon,Poison,,0.8,20.0,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,Medium Slow,Undiscovered,,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidorina.png,40
31,Nidoqueen,1,Normal,Drill Pokémon,Poison,Ground,1.3,60.0,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,Medium Slow,Undiscovered,,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidoqueen.png,41
32,Nidoran♂,1,Normal,Poison Pin Pokémon,Poison,,0.5,9.0,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,Medium Slow,Field,Monster,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidoran-m.png,42
33,Nidorino,1,Normal,Poison Pin Pokémon,Poison,,0.9,19.5,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,Medium Slow,Field,Monster,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidorino.png,43
34,Nidoking,1,Normal,Drill Pokémon,Poison,Ground,1.4,62.0,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,Medium Slow,Field,Monster,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/nidoking.png,44
35,Clefairy,1,Normal,Fairy Pokémon,Fairy,,0.6,7.5,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,Fast,Fairy,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,https://img.pokemondb.net/sprites/bank/normal/clefairy.png,45
36,Clefable,1,Normal,Fairy Pokémon,Fairy,,1.3,40.0,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,Fast,Fairy,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,https://img.pokemondb.net/sprites/bank/normal/clefable.png,46
37,Vulpix,1,Normal,Fox Pokémon,Fire,,0.6,9.9,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,Medium Fast,Field,,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://img.pokemondb.net/sprites/bank/normal/vulpix.png,47
37,Alolan Vulpix,7,Normal,Fox Pokémon,Ice,,0.6,9.9,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,Medium Fast,Field,,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://www.serebii.net/sunmoon/pokemon/037-a.png,48
38,Ninetales,1,Normal,Fox Pokémon,Fire,,1.1,19.9,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,Medium Fast,Field,,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://img.pokemondb.net/sprites/bank/normal/ninetales.png,49
38,Alolan Ninetales,7,Normal,Fox Pokémon,Ice,Fairy,1.1,19.9,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,Medium Fast,Field,,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,https://www.serebii.net/sunmoon/pokemon/038-a.png,50
39,Jigglypuff,1,Normal,Balloon Pokémon,Normal,Fairy,0.5,5.5,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,Fast,Fairy,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,https://img.pokemondb.net/sprites/bank/normal/jigglypuff.png,51
40,Wigglytuff,1,Normal,Balloon Pokémon,Normal,Fairy,1.0,12.0,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,Fast,Fairy,,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,https://img.pokemondb.net/sprites/bank/normal/wigglytuff.png,52
41,Zubat,1,Normal,Bat Pokémon,Poison,Flying,0.8,7.5,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,Medium Fast,Flying,,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/zubat.png,53
42,Golbat,1,Normal,Bat Pokémon,Poison,Flying,1.6,55.0,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,Medium Fast,Flying,,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/golbat.png,54
43,Oddish,1,Normal,Weed Pokémon,Grass,Poison,0.5,5.4,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,Medium Slow,Grass,,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/oddish.png,55
44,Gloom,1,Normal,Weed Pokémon,Grass,Poison,0.8,8.6,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,Medium Slow,Grass,,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/gloom.png,56
45,Vileplume,1,Normal,Flower Pokémon,Grass,Poison,1.2,18.6,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,Medium Slow,Grass,,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/vileplume.png,57
46,Paras,1,Normal,Mushroom Pokémon,Bug,Grass,0.3,5.4,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,Medium Fast,Bug,Grass,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/paras.png,58
47,Parasect,1,Normal,Mushroom Pokémon,Bug,Grass,1.0,29.5,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,Medium Fast,Bug,Grass,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/parasect.png,59
48,Venonat,1,Normal,Insect Pokémon,Bug,Poison,1.0,30.0,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,Medium Fast,Bug,,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/venonat.png,60
49,Venomoth,1,Normal,Poison Moth Pokémon,Bug,Poison,1.5,12.5,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,Medium Fast,Bug,,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,https://img.pokemondb.net/sprites/bank/normal/venomoth.png,61
50,Diglett,1,Normal,Mole Pokémon,Ground,,0.2,0.8,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,Medium Fast,Field,,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/diglett.png,62
50,Alolan Diglett,7,Normal,Mole Pokémon,Ground,Steel,0.2,1.0,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,Medium Fast,Field,,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,https://www.serebii.net/sunmoon/pokemon/050-a.png,63
51,Dugtrio,1,Normal,Mole Pokémon,Ground,,0.7,33.3,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,Medium Fast,Field,,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/dugtrio.png,64
51,Alolan Dugtrio,7,Normal,Mole Pokémon,Ground,Steel,0.7,66.6,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,Medium Fast,Field,,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,https://www.serebii.net/sunmoon/pokemon/051-a.png,65
52,Meowth,1,Normal,Scratch Cat Pokémon,Normal,,0.4,4.2,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,Medium Fast,Field,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/meowth.png,66
52,Alolan Meowth,7,Normal,Scratch Cat Pokémon,Dark,,0.4,4.2,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,Medium Fast,Field,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,https://www.serebii.net/sunmoon/pokemon/052-a.png,67
52,Galarian Meowth,8,Normal,Scratch Cat Pokémon,Steel,,0.4,7.5,290.0,50.0,65.0,55.0,40.0,40.0,40.0,255.0,Medium Fast,Field,,20.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,https://www.serebii.net/swordshield/pokemon/052-g.png,68
53,Persian,1,Normal,Classy Cat Pokémon,Normal,,1.0,32.0,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,Medium Fast,Field,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,https://img.pokemondb.net/sprites/bank/normal/persian.png,69
53,Alolan Persian,7,Normal,Classy Cat Pokémon,Dark,,1.1,33.0,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,Medium Fast,Field,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,https://www.serebii.net/sunmoon/pokemon/053-a.png,70
