PERIODO	COMUNA	NÚMERO INCENDIOS FORESTALES	PINO INSIGNE 0 A 10 AÑOS	PINO INSIGNE 11 A 17 AÑOS	PINO INSIGNE 18 O MÁS AÑOS	PINO INSIGNE	EUCALIPTO	OTRAS SP.	TOTAL PLANTACIONES	ARBOLADO	MATORRAL	PASTIZAL	TOTAL NATURAL	TOTAL FORESTAL	TOTAL OTRAS SUPERFICIES	TOTAL SUPERFICIE AFECTADA
2019 - 2020	FREIRINA	5	0,00	0,00	0,00	0,00	1,75	0,00	1,75	2,25	3,70	2,50	8,45	10,20	0,00	10,20
2019 - 2020	HUASCO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	ANDACOLLO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	COQUIMBO	15	0,00	0,00	0,00	0,00	0,10	0,00	0,10	0,06	16,32	11,76	28,15	28,25	0,00	28,25
2019 - 2020	LA HIGUERA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	LA SERENA	15	0,00	0,00	0,00	0,00	6,71	0,01	6,72	0,12	0,33	0,69	1,14	7,86	0,00	7,86
2019 - 2020	PAIHUANO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	VICUNA	5	0,00	0,00	0,00	0,00	0,55	0,00	0,55	1,79	2,50	0,76	5,05	5,60	0,70	6,30
2019 - 2020	COMBARBALA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	MONTE PATRIA	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,50	8,00	0,31	12,81	12,81	0,00	12,81
2019 - 2020	OVALLE	36	0,00	0,00	0,00	0,00	8,47	0,00	8,47	16,44	99,53	33,64	149,61	158,08	0,00	158,08
2019 - 2020	PUNITAQUI	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,30	0,00	0,00	0,30	0,30	0,00	0,30
2019 - 2020	RIO HURTADO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	CANELA	4	0,00	0,00	0,00	0,00	0,40	0,00	0,40	0,30	0,81	1,01	2,11	2,51	0,00	2,51
2019 - 2020	ILLAPEL	2	0,00	0,00	0,00	0,00	1,00	0,00	1,00	1,50	0,50	0,50	2,50	3,50	0,00	3,50
2019 - 2020	LOS VILOS	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,01	0,01	0,00	0,01
2019 - 2020	MINCHA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	SALAMANCA	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,50	3,70	2,10	10,30	10,30	0,00	10,30
2019 - 2020	CABILDO	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	LA LIGUA	14	0,00	0,00	0,00	0,00	0,06	0,00	0,06	107,02	181,60	12,64	301,26	301,32	0,00	301,32
2019 - 2020	PAPUDO	7	0,00	0,00	0,00	0,00	0,03	0,00	0,03	0,00	0,68	0,74	1,42	1,45	0,01	1,46
2019 - 2020	PETORCA	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,62	0,65	0,65	0,30	0,95
2019 - 2020	ZAPALLAR	7	0,00	0,00	0,00	0,00	0,15	0,00	0,15	9,85	21,30	4,73	35,88	36,03	0,05	36,08
2019 - 2020	CALLE LARGA	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	3,80	3,83	3,83	0,00	3,83
2019 - 2020	LOS ANDES	6	0,00	0,00	0,00	0,00	0,28	0,00	0,28	5,66	4,69	5,06	15,41	15,69	0,00	15,69
2019 - 2020	RINCONADA	6	0,00	0,00	0,00	0,00	0,02	0,00	0,02	0,00	0,85	0,81	1,65	1,67	0,00	1,67
2019 - 2020	SAN ESTEBAN	6	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,50	12,11	15,48	34,09	34,09	0,00	34,09
2019 - 2020	CATEMU	8	0,44	0,00	0,00	0,44	3,21	0,00	3,65	0,00	7,12	2,94	10,06	13,71	0,30	14,01
2019 - 2020	LLAILLAY	10	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,54	5,49	11,03	11,03	0,00	11,03
2019 - 2020	PANQUEHUE	22	0,00	0,00	0,00	0,00	3,13	0,10	3,23	47,12	11,93	5,55	64,60	67,83	0,01	67,84
2019 - 2020	PUTAENDO 	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,50	0,96	0,51	1,97	1,97	0,00	1,97
2019 - 2020	SAN FELIPE	10	0,00	0,00	0,00	0,00	18,00	0,00	18,00	0,00	12,39	9,17	21,56	39,56	0,03	39,59
2019 - 2020	SANTA MARIA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	HIJUELAS	25	4,00	0,00	0,00	4,00	4,59	0,33	8,92	0,15	24,56	4,04	28,74	37,66	0,01	37,67
2019 - 2020	CALERA	18	0,00	0,00	0,00	0,00	3,44	0,00	3,44	0,46	6,60	4,12	11,18	14,62	0,18	14,80
2019 - 2020	LA CRUZ	18	0,00	0,00	0,00	0,00	0,10	0,18	0,28	0,00	16,55	4,12	20,67	20,95	0,56	21,51
2019 - 2020	NOGALES	28	0,00	0,00	0,00	0,00	0,50	0,00	0,50	20,79	52,55	16,67	90,01	90,51	0,38	90,89
2019 - 2020	QUILLOTA	50	0,00	0,00	0,00	0,00	3,25	0,39	3,64	11,18	52,13	36,15	99,46	103,10	3,51	106,61
2019 - 2020	CASABLANCA	16	0,00	1.351,84	0,00	1.351,84	689,42	0,00	2.041,26	353,23	774,01	411,00	1.538,24	3.579,50	62,64	3.642,14
2019 - 2020	CONCON	15	0,00	1,00	0,00	1,00	2,50	0,00	3,50	0,10	6,07	4,64	10,81	14,31	0,58	14,89
2019 - 2020	PUCHUNCAVI	4	0,00	0,00	0,40	0,40	0,00	0,00	0,40	0,00	0,40	0,69	1,09	1,49	0,20	1,69
2019 - 2020	QUINTERO	5	1,00	0,00	0,00	1,00	2,00	0,00	3,00	0,00	2,20	1,40	3,60	6,60	0,00	6,60
2019 - 2020	VALPARAISO	108	2,17	253,97	195,68	451,82	531,73	0,20	983,74	146,62	196,11	174,10	516,83	1.500,57	7,96	1.508,53
2019 - 2020	VINA DEL MAR	51	0,00	0,00	0,43	0,43	3,23	0,00	3,66	0,45	7,28	7,54	15,27	18,93	0,05	18,98
2019 - 2020	JUAN FERNANDEZ	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	ALGARROBO	9	0,00	0,10	0,42	0,52	0,05	0,00	0,57	0,01	0,02	0,77	0,80	1,37	0,00	1,37
2019 - 2020	CARTAGENA	8	0,00	0,00	0,01	0,01	0,13	0,00	0,14	0,00	0,32	0,92	1,24	1,38	0,02	1,40
2019 - 2020	EL QUISCO	8	0,00	45,22	0,10	45,32	402,62	0,00	447,94	53,71	123,46	40,12	217,29	665,23	0,00	665,23
2019 - 2020	EL TABO	7	0,00	0,00	0,00	0,00	1,25	0,00	1,25	0,00	1,22	1,84	3,06	4,31	0,00	4,31
2019 - 2020	SAN ANTONIO	36	0,40	0,05	0,02	0,47	4,51	0,00	4,98	3,50	3,09	11,72	18,31	23,28	0,32	23,60
2019 - 2020	SANTO DOMINGO	10	0,00	0,00	0,00	0,00	0,30	0,00	0,30	0,06	1,63	2,83	4,52	4,82	0,00	4,82
2019 - 2020	ISLA DE PASCUA	21	0,00	0,00	0,00	0,00	0,30	0,00	0,30	5,50	38,10	314,00	357,60	357,90	0,00	357,90
2019 - 2020	LIMACHE	35	0,00	0,00	0,00	0,00	1,43	0,07	1,50	0,54	6,92	4,95	12,41	13,91	0,38	14,29
2019 - 2020	OLMUE	7	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,49	11,88	6,08	24,45	24,45	0,00	24,45
2019 - 2020	QUILPUE	34	0,04	0,00	0,00	0,04	2,14	0,00	2,18	454,62	942,18	343,49	1.740,29	1.742,47	0,94	1.743,41
2019 - 2020	VILLA ALEMANA	12	0,00	0,00	0,00	0,00	0,15	0,00	0,15	0,00	0,72	2,12	2,84	2,99	0,06	3,04
2019 - 2020	RANCAGUA	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,75	2,73	3,50	3,50	0,00	3,50
2019 - 2020	MACHALI	19	0,00	0,00	0,00	0,00	0,23	0,00	0,23	39,00	127,68	39,09	205,77	205,99	0,00	205,99
2019 - 2020	GRANEROS	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,42	1,01	0,32	4,75	4,75	0,00	4,75
2019 - 2020	CODEGUA	8	0,00	0,00	0,00	0,00	3,70	0,30	4,00	29,70	17,05	7,30	54,05	58,05	0,00	58,05
2019 - 2020	MOSTAZAL	4	0,00	0,00	0,00	0,00	2,55	0,00	2,55	0,20	3,10	0,85	4,15	6,70	0,00	6,70
2019 - 2020	REQUINOA	6	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2.015,00	94,21	142,80	2.252,01	2.252,01	0,02	2.252,03
2019 - 2020	OLIVAR	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	RENGO	26	0,00	0,00	0,00	0,00	9,51	0,00	9,51	5,99	31,71	17,22	54,92	64,42	4,60	69,02
2019 - 2020	QUINTA DE TILCOCO	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,51	1,91	2,42	2,42	0,00	2,42
2019 - 2020	MALLOA	13	0,00	0,00	0,00	0,00	1,06	0,00	1,06	1,25	6,37	2,15	9,77	10,83	0,30	11,13
2019 - 2020	SAN VICENTE TAGUA TAGUA	33	0,00	0,00	0,00	0,00	4,41	0,00	4,41	7,61	19,31	10,99	37,90	42,31	4,40	46,71
2019 - 2020	DONIHUE	12	0,00	0,00	0,00	0,00	0,09	0,00	0,09	2,78	7,78	10,65	21,21	21,30	4,00	25,30
2019 - 2020	COINCO	17	0,00	0,00	0,00	0,00	3,30	1,70	5,00	2,45	12,56	6,55	21,56	26,56	0,75	27,31
2019 - 2020	COLTAUCO	23	0,00	0,00	0,00	0,00	0,10	2,10	2,20	107,42	326,68	155,75	589,84	592,04	0,90	592,94
2019 - 2020	PICHIDEGUA	21	0,00	0,00	0,00	0,00	1,11	0,00	1,11	11,65	9,61	4,36	25,62	26,73	10,50	37,23
2019 - 2020	PEUMO	2	0,00	0,00	0,00	0,00	0,50	0,20	0,70	0,00	0,30	0,01	0,31	1,01	0,00	1,01
2019 - 2020	LAS CABRAS	19	0,05	0,00	0,00	0,05	1,10	0,00	1,15	18,55	52,62	29,31	100,48	101,63	0,13	101,76
2019 - 2020	SAN FERNANDO	26	0,00	0,00	0,00	0,00	16,09	0,60	16,69	0,70	14,97	8,49	24,16	40,85	0,20	41,05
2019 - 2020	CHIMBARONGO	11	0,00	0,00	0,00	0,00	1,90	0,00	1,90	18,20	19,12	27,50	64,82	66,72	0,00	66,72
2019 - 2020	NANCAGUA	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,05	0,10	0,10	0,00	0,10
2019 - 2020	PLACILLA	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
2019 - 2020	CHEPICA	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,06	0,55	0,31	0,92	0,92	30,30	31,22
2019 - 2020	SANTA CRUZ	15	0,00	0,00	0,00	0,00	16,30	0,00	16,30	3,00	9,79	20,46	33,24	49,54	17,25	66,79
2019 - 2020	PALMILLA	1	0,00	0,00	0,00	0,00	0,20	0,00	0,20	0,00	0,00	0,00	0,00	0,20	0,00	0,20
2019 - 2020	LOLOL	15	0,00	0,00	0,00	0,00	5,40	0,00	5,40	6,60	30,55	75,81	112,96	118,36	4,33	122,69
2019 - 2020	PUMANQUE	7	0,00	0,00	0,00	0,00	1,40	0,00	1,40	0,50	1,21	1,01	2,72	4,12	0,00	4,12
2019 - 2020	PERALILLO	8	0,00	0,00	0,00	0,00	26,10	0,00	26,10	0,10	8,17	18,88	27,15	53,25	27,00	80,25
2019 - 2020	PICHILEMU	16	0,11	2,40	3,60	6,11	1,00	0,00	7,11	0,60	3,11	2,00	5,71	12,82	4,38	17,20
2019 - 2020	PAREDONES	33	119,40	135,40	1,00	255,80	9,30	2,00	267,10	0,15	185,35	36,30	221,80	488,90	62,78	551,68
2019 - 2020	MARCHIHUE	4	0,00	0,00	0,00	0,00	3,53	0,00	3,53	0,00	3,33	4,93	8,26	11,79	0,00	11,79
2019 - 2020	LITUECHE	33	3,40	0,00	7,30	10,70	3,42	0,00	14,12	9,40	23,79	24,59	57,78	71,90	16,48	88,38
2019 - 2020	LA ESTRELLA	7	0,00	0,00	0,00	0,00	5,50	0,00	5,50	3,30	10,90	16,91	31,11	36,61	12,32	48,93
2019 - 2020	NAVIDAD	9	0,00	0,10	2,50	2,60	5,07	0,00	7,67	2,03	7,63	25,95	35,61	43,28	1,05	44,33
2019 - 2020	CURICO	73	0,13	10,00	0,00	10,13	12,10	0,00	22,23	292,15	164,98	144,99	602,12	624,35	7,01	631,36
2019 - 2020	RAUCO	26	0,30	0,00	0,00	0,30	3,33	0,00	3,63	229,30	134,58	168,68	532,56	536,19	3,00	539,19
2019 - 2020	ROMERAL	7	227,00	0,00	350,00	577,00	3,20	0,00	580,20	212,40	124,30	176,22	512,92	1.093,12	211,00	1.304,12
2019 - 2020	TENO	25	0,00	0,00	0,00	0,00	0,00	0,00	0,00	13,00	24,55	45,59	83,14	83,14	0,05	83,19
2019 - 2020	VICHUQUEN	18	0,60	243,20	342,25	586,05	38,25	1,08	625,38	144,66	268,99	51,20	464,85	1.090,23	29,65	1.119,88
2019 - 2020	LICANTEN	13	0,00	0,00	0,00	0,00	0,11	0,00	0,11	0,20	4,50	5,16	9,86	9,97	0,00	9,97
2019 - 2020	HUALANE	39	0,00	0,80	35,90	36,70	0,30	0,00	37,00	0,02	63,93	103,13	167,08	204,08	19,05	223,13
2019 - 2020	MOLINA	40	27,93	0,01	1.312,60	1.340,54	2,10	337,10	1.679,74	8.334,00	5.319,08	77,24	13.730,32	15.410,06	1,62	15.411,68
2019 - 2020	SAGRADA FAMILIA	45	0,40	2,73	0,60	3,73	4,51	0,00	8,24	5,78	49,47	125,71	180,96	189,20	6,13	195,33
2019 - 2020	TALCA	105	0,00	0,00	24,50	24,50	8,00	0,30	32,80	7,51	53,17	61,57	122,25	155,05	4,49	159,53
2019 - 2020	SAN CLEMENTE	79	0,05	4,10	0,50	4,65	5,60	0,00	10,25	66,21	135,69	83,34	285,24	295,49	46,71	342,20
2019 - 2020	PELARCO	9	4,00	0,00	0,00	4,00	0,00	0,00	4,00	3,00	3,96	8,35	15,31	19,31	2,30	21,61
2019 - 2020	RIO CLARO	37	12,59	0,00	0,10	12,69	9,98	0,00	22,67	2,05	15,85	26,53	44,43	67,10	8,50	75,60
2019 - 2020	PENCAHUE	46	0,72	16,10	12,60	29,42	0,00	0,00	29,42	0,05	51,89	41,15	93,09	122,50	11,76	134,26
2019 - 2020	MAULE	65	0,00	0,00	0,00	0,00	13,60	1,00	14,60	18,18	55,95	156,77	230,89	245,49	2,52	248,01
2019 - 2020	CUREPTO	52	8,10	0,60	239,30	248,00	0,50	0,00	248,50	53,80	95,75	40,29	189,84	438,34	15,13	453,47
2019 - 2020	CONSTITUCION	66	45,25	0,41	57,10	102,76	29,06	0,00	131,82	1,00	29,52	16,67	47,19	179,00	7,32	186,32
2019 - 2020	EMPEDRADO	16	0,00	12,20	2,93	15,13	2,00	0,00	17,13	0,20	22,11	0,22	22,53	39,66	0,82	40,48
2019 - 2020	SAN RAFAEL	19	0,00	0,00	0,00	0,00	0,60	0,00	0,60	3,43	10,71	15,93	30,07	30,67	0,00	30,67
2019 - 2020	LINARES	59	0,00	0,00	0,60	0,60	3,47	0,20	4,27	105,59	139,03	71,60	316,22	320,49	6,70	327,19
2019 - 2020	YERBAS BUENAS	24	0,00	0,00	0,00	0,00	0,80	0,00	0,80	7,55	11,83	7,41	26,79	27,59	28,30	55,89
2019 - 2020	COLBUN	6	0,00	0,00	0,00	0,00	0,20	0,20	0,40	18,20	10,21	13,32	41,73	42,13	0,00	42,13
2019 - 2020	LONGAVI	34	0,00	0,00	13,90	13,90	3,16	0,20	17,26	5,36	32,83	62,97	101,16	118,42	38,12	156,54
2019 - 2020	PARRAL	41	0,00	1,50	1,00	2,50	0,00	1,40	3,90	2,04	37,11	100,25	139,39	143,29	98,20	241,49
2019 - 2020	RETIRO	30	0,00	0,00	1,50	1,50	5,20	0,00	6,70	3,21	17,85	33,56	54,62	61,32	40,58	101,90
2019 - 2020	SAN JAVIER	81	154,57	0,00	79,74	234,31	36,60	0,50	271,41	30,21	140,50	121,90	292,61	564,02	64,96	628,98
2019 - 2020	VILLA ALEGRE	17	0,00	0,00	0,00	0,00	0,70	0,00	0,70	2,30	4,10	13,78	20,18	20,88	16,60	37,48
2019 - 2020	CAUQUENES	74	181,63	0,65	22,90	205,18	5,32	0,00	210,50	9,30	208,48	36,96	254,74	465,24	4,37	469,61
2019 - 2020	CHANCO	8	0,00	0,00	0,00	0,00	1,90	0,00	1,90	0,00	0,18	1,42	1,60	3,50	0,00	3,50
2019 - 2020	PELLUHUE	7	0,00	0,26	3,00	3,26	0,00	0,00	3,26	0,00	1,20	1,76	2,97	6,23	0,00	6,23
2019 - 2020	BULNES	16	0,00	0,51	0,13	0,64	0,64	8,00	9,28	0,07	5,78	2,14	7,99	17,27	1,02	18,29
2019 - 2020	CHILLAN	59	20,45	0,10	8,13	28,68	358,85	16,29	403,82	120,00	198,44	78,04	396,48	800,30	50,73	851,03
2019 - 2020	PINTO	10	1,00	0,00	1,00	2,00	2,50	0,00	4,50	0,90	5,27	1,06	7,22	11,72	58,30	70,02
2019 - 2020	CHILLAN VIEJO	28	0,23	0,00	0,80	1,03	13,78	0,05	14,86	0,10	31,72	92,38	124,20	139,06	1,40	140,46
2019 - 2020	EL CARMEN	7	0,00	0,00	0,26	0,26	0,00	0,00	0,26	13,30	8,85	0,79	22,94	23,20	0,10	23,30
2019 - 2020	PEMUCO	19	0,00	0,00	0,70	0,70	1,00	0,00	1,70	0,00	6,61	2,67	9,28	10,98	9,04	20,02
2019 - 2020	QUILLON	32	0,00	3,50	6,15	9,65	28,20	0,00	37,85	35,93	54,97	46,74	137,64	175,49	1,80	177,29
2019 - 2020	SAN IGNACIO	18	0,01	0,00	1,10	1,11	0,00	0,40	1,51	0,53	8,17	7,76	16,46	17,97	56,35	74,32
2019 - 2020	YUNGAY	30	0,06	0,00	0,00	0,06	0,00	0,00	0,06	1,20	13,17	7,85	22,22	22,28	53,16	75,44
2019 - 2020	COBQUECURA	10	1,20	0,00	0,00	1,20	0,50	0,00	1,70	0,00	6,12	0,60	6,72	8,42	0,71	9,13
2019 - 2020	COELEMU	54	2,58	2,90	0,40	5,88	6,81	0,00	12,69	0,00	20,90	4,70	25,60	38,29	5,28	43,57
2019 - 2020	NINHUE	10	0,13	0,00	0,00	0,13	2,63	0,00	2,76	0,00	7,74	1,99	9,73	12,49	0,00	12,49
2019 - 2020	PORTEZUELO	5	0,00	0,04	3,20	3,24	0,00	1,15	4,39	0,00	1,66	19,50	21,16	25,55	1,50	27,05
2019 - 2020	QUIRIHUE	15	166,00	25,12	0,37	191,49	45,19	0,00	236,68	9,00	13,24	21,21	43,45	280,13	0,01	280,14
2019 - 2020	RANQUIL	21	21,00	0,00	0,00	21,00	1,50	0,00	22,50	0,20	10,83	3,06	14,09	36,59	0,10	36,69
2019 - 2020	TREGUACO	8	5,16	0,40	0,00	5,56	4,50	0,00	10,06	0,00	5,02	2,38	7,40	17,46	17,38	34,84
2019 - 2020	COIHUECO	77	7,08	3,00	1,20	11,28	0,00	0,00	11,28	27,48	52,93	36,39	116,80	128,08	48,63	176,71
2019 - 2020	NIQUEN	7	0,00	0,00	0,00	0,00	0,00	0,80	0,80	0,00	15,57	22,78	38,35	39,15	62,75	101,90
2019 - 2020	SAN CARLOS	26	0,00	0,00	0,00	0,00	1,40	0,00	1,40	0,00	71,91	43,84	115,75	117,15	25,62	142,77
2019 - 2020	SAN FABIAN	10	0,57	0,00	0,00	0,57	0,50	0,00	1,07	0,18	2,26	6,14	8,58	9,65	0,00	9,65
2019 - 2020	SAN NICOLAS	20	0,00	0,00	0,00	0,00	19,12	0,00	19,12	0,25	10,25	15,71	26,21	45,33	16,47	61,80
2019 - 2020	LOS ANGELES	174	117,35	13,02	55,13	185,50	75,76	49,63	310,89	2,26	232,18	127,31	361,74	672,63	77,13	749,76
2019 - 2020	LAJA	43	307,76	0,02	1,18	308,96	35,85	0,00	344,81	0,00	196,27	15,93	212,20	557,01	0,63	557,64
2019 - 2020	SAN ROSENDO	13	10,84	0,00	7,96	18,80	0,00	0,00	18,80	0,00	4,86	7,53	12,39	31,19	0,72	31,91
2019 - 2020	YUMBEL	55	0,97	0,12	9,88	10,97	2,86	0,50	14,33	10,35	16,71	23,98	51,04	65,37	1,34	66,71
2019 - 2020	CABRERO	71	2,91	4,19	100,92	108,02	14,23	0,01	122,26	0,00	70,29	114,46	184,75	307,01	0,52	307,53
2019 - 2020	TUCAPEL	43	0,00	0,00	87,62	87,62	3,50	0,00	91,12	0,55	17,09	30,28	47,92	139,04	6,30	145,34
2019 - 2020	QUILLECO	62	27,15	16,47	0,00	43,62	10,00	0,00	53,62	554,00	58,59	1,27	613,86	667,48	0,40	667,88
2019 - 2020	SANTA BARBARA	11	0,00	1,03	0,00	1,03	0,06	0,00	1,09	1,11	1,70	0,79	3,60	4,69	2,50	7,19
2019 - 2020	ALTO BIO BIO	25	13,50	0,00	2,00	15,50	0,00	0,00	15,50	907,81	44,59	63,90	1.016,30	1.031,80	0,00	1.031,80
2019 - 2020	QUILACO	11	0,07	0,08	0,00	0,15	0,00	0,00	0,15	0,00	7,06	2,80	9,86	10,01	0,12	10,13
2019 - 2020	MULCHEN	169	0,72	8,86	0,00	9,58	157,73	0,00	167,31	7,18	142,89	108,79	258,86	426,17	415,42	841,59
2019 - 2020	NACIMIENTO	42	5,71	0,50	16,65	22,86	110,71	1,21	134,78	33,86	23,63	10,22	67,71	202,49	80,15	282,64
2019 - 2020	NEGRETE	19	12,50	0,05	3,99	16,54	23,28	0,00	39,82	0,00	74,69	60,30	134,99	174,81	15,07	189,88
2019 - 2020	ANTUCO	4	0,00	0,01	0,00	0,01	0,00	0,00	0,01	8,00	1,20	0,00	9,20	9,21	0,15	9,36
2019 - 2020	CONCEPCION	20	0,00	0,00	0,10	0,10	3,50	0,30	3,90	0,00	5,73	2,69	8,42	12,32	0,00	12,32
